,name,speed,throttle,steer,brake
0,image_00000,0.0,1.0,-0.0002311706484761089,0.0
0,image_00001,4.740352910204138e-09,1.0,-0.0002311706484761089,0.0
0,image_00002,9.47596721090349e-09,1.0,-0.0002311706484761089,0.0
0,image_00003,1.420685009634326e-08,1.0,-0.0002311706484761089,0.0
0,image_00004,1.893300396460518e-08,1.0,-0.0002311706484761089,0.0
0,image_00005,2.5386870206034474e-08,1.0,-0.0002311706484761089,0.0
0,image_00006,-0.08537542372941971,1.0,-0.00023204258468467742,0.0
0,image_00007,-0.002230743784457445,1.0,-0.00022931779676582664,0.0
0,image_00008,0.012683065049350262,1.0,-0.00023018973297439516,0.0
0,image_00009,0.011519390344619752,1.0,-0.00023236956621985883,0.0
0,image_00010,0.008128835912793874,1.0,-0.00023400443024002016,0.0
0,image_00011,0.005531227542087436,1.0,-0.00023400443024002016,0.0
0,image_00012,0.0035604866221547126,1.0,-0.0002347673726035282,0.0
0,image_00013,0.0022942209849134087,1.0,-0.00023454938491340727,0.0
0,image_00014,0.0014354402082972229,1.0,-0.00023465837875846773,0.0
0,image_00015,0.0009241562685929239,1.0,-0.00023465837875846773,0.0
0,image_00016,0.0006002020498272032,1.0,-0.00023465837875846773,0.0
0,image_00017,0.00038144197314977647,1.0,-0.00023465837875846773,0.0
0,image_00018,0.00019972548179794102,1.0,-0.00023465837875846773,0.0
0,image_00019,0.00018787083827191965,1.0,-0.00023465837875846773,0.0
0,image_00020,0.00014921681431587786,1.0,-0.00023465837875846773,0.0
0,image_00021,9.042199380928651e-05,1.0,-0.00023465837875846773,0.0
0,image_00022,4.4060043728677555e-05,1.0,-0.00023465837875846773,0.0
0,image_00023,4.71143994218437e-05,1.0,-0.00023465837875846773,0.0
0,image_00024,2.350995819142554e-05,1.0,-0.00023465837875846773,0.0
0,image_00025,2.204925440310035e-05,1.0,-0.00023465837875846773,0.0
0,image_00026,3.185458588600159,1.0,-0.001697649247944355,0.0
0,image_00027,7.382223701477051,1.0,0.19998419284820557,0.0
0,image_00028,11.075106239318847,1.0,-0.0043702260591089725,0.0
0,image_00029,14.600931358337403,1.0,-0.01599469780921936,0.0
0,image_00030,17.70113925933838,1.0,-0.01360996812582016,0.0
0,image_00031,20.71596965789795,0.5,-0.00951974093914032,0.0
0,image_00032,23.277953910827637,0.5,-0.0036554608959704638,0.0
0,image_00033,25.047434234619143,0.5,0.004666246473789215,0.0
0,image_00034,25.998388481140136,0.5,0.0006628853734582663,0.0
0,image_00035,26.36286334991455,1.0,-0.012813023291528225,0.0
0,image_00036,26.49536190032959,1.0,-0.009822736494243145,0.0
0,image_00037,27.074319076538085,1.0,-0.012722233310341835,0.0
0,image_00038,27.963446044921877,1.0,-0.010280827060341835,0.0
0,image_00039,29.02701187133789,1.0,-0.01274206954985857,0.0
0,image_00040,30.07389907836914,1.0,-0.0005275181611068547,0.0
0,image_00041,30.839773178100586,1.0,0.005904170218855143,0.0
0,image_00042,30.75421714782715,1.0,0.0020430427975952625,0.0
0,image_00043,30.596837997436523,1.0,0.01387089304625988,0.0
0,image_00044,30.45417022705078,1.0,0.01158174779266119,0.0
0,image_00045,30.34336624145508,1.0,-0.01029957365244627,0.0
0,image_00046,31.259310150146487,1.0,-0.01379547081887722,0.0
0,image_00047,33.98275566101074,1.0,-0.00898568332195282,0.0
0,image_00048,36.39891357421875,1.0,-0.00690492894500494,0.0
0,image_00049,38.56256446838379,1.0,-0.00090015958994627,0.0
0,image_00050,40.483479309082036,1.0,-0.0063117980025708675,0.0
0,image_00051,42.342585754394534,1.0,-0.01309127826243639,0.0
0,image_00052,44.06428756713867,1.0,-0.009259250946342945,0.0
0,image_00053,45.702527618408205,1.0,-0.010020991787314415,0.0
0,image_00054,47.28205261230469,1.0,-0.008174896240234375,0.0
0,image_00055,48.723774719238286,1.0,0.008565629832446575,0.0
0,image_00056,50.2019645690918,1.0,0.02989589236676693,0.0
0,image_00057,51.47966766357422,1.0,0.02574114128947258,0.0
